DrugBank ID,Name,Drug group,Pharmacological action?,Actions,Accession,Details,PUBCHEM ID
DB00991,Oxaprozin,approved,yes,inhibitor,P23219,Details,4614
DB01600,Tiaprofenic acid,approved,yes,inhibitor,P23219,Details,5468
DB01397,Magnesium salicylate,experimental,yes,inhibitor,P23219,Details,54684589
DB00250,Dapsone,"approved, investigational",unknown,substrate,P23219,Details,2955
DB01041,Thalidomide,"approved, investigational, withdrawn",unknown,substrate,P23219,Details,5426
DB00711,Diethylcarbamazine,"approved, investigational, vet_approved",unknown,inhibitor,P23219,Details,3052
DB06725,Lornoxicam,"approved, investigational",yes,inhibitor,P23219,Details,54690031
DB00821,Carprofen,"approved, vet_approved, withdrawn",unknown,inhibitor,P23219,Details,2581
DB00796,Candesartan cilexetil,approved,unknown,substrate,P23219,Details,2540
DB01029,Irbesartan,"approved, investigational",unknown,substrate,P23219,Details,3749
DB01181,Ifosfamide,approved,unknown,substrate,P23219,Details,3690
DB00619,Imatinib,approved,unknown,substrate,P23219,Details,5291
DB05109,Trabectedin,"approved, investigational",unknown,substrate,P23219,Details,108150
DB00313,Valproic acid,"approved, investigational",unknown,substrate,P23219,Details,3121
DB00857,Terbinafine,"approved, investigational, vet_approved",unknown,substrate,P23219,Details,1549008
DB00582,Voriconazole,approved,unknown,substrate,P23219,Details,71616
DB01075,Diphenhydramine,"approved, investigational",unknown,substrate,P23219,Details,3100
DB00216,Eletriptan,"approved, investigational",unknown,substrate,P23219,Details,77993
DB01355,Hexobarbital,experimental,unknown,substrate,P23219,Details,3608
DB00829,Diazepam,"approved, illicit, investigational, vet_approved",unknown,substrate,P23219,Details,3016
DB00470,Dronabinol,"approved, illicit",unknown,substrate,P23219,Details,16078
DB01198,Zopiclone,approved,unknown,substrate,P23219,Details,5735
DB00471,Montelukast,approved,unknown,substrate,P23219,Details,5281040
DB00549,Zafirlukast,"approved, investigational",unknown,substrate,P23219,Details,5717
DB00744,Zileuton,"approved, investigational, withdrawn",unknown,substrate,P23219,Details,60490
DB00533,Rofecoxib,"approved, investigational, withdrawn",unknown,substrate,P23219,Details,5090
DB00412,Rosiglitazone,"approved, investigational",unknown,substrate,P23219,Details,77999
DB01221,Ketamine,"approved, vet_approved",unknown,substrate,P23219,Details,3821
DB00672,Chlorpropamide,"approved, investigational",unknown,substrate,P23219,Details,2727
DB00731,Nateglinide,"approved, investigational",unknown,substrate,P23219,Details,5311309
DB06737,Zaltoprofen,experimental,unknown,substrate,P23219,Details,5720
DB06739,Seratrodast,experimental,unknown,substrate,P23219,Details,2449
DB06738,Ketobemidone,investigational,unknown,substrate,P23219,Details,10101
DB00812,Phenylbutazone,"approved, vet_approved",yes,inhibitor,P23219,Details,4781
DB02773,(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,experimental,unknown,,P23219,Details,2084
DB02047,(+)-2-(4-biphenyl)propionic acid,experimental,unknown,,P23219,Details,448006
DB07981,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,experimental,unknown,,P23219,Details,16741227
DB07983,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,experimental,unknown,,P23219,Details,447835
DB07984,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide,experimental,unknown,,P23219,Details,16741228
DB03752,P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,experimental,unknown,,P23219,Details,447834
DB03667,Acetic Acid Salicyloyl-Amino-Ester,experimental,unknown,,P23219,Details,445302
DB06802,Nepafenac,"approved, investigational",unknown,inhibitor,P23219,Details,151075
DB00795,Sulfasalazine,approved,yes,inhibitor,P23219,Details,5339
DB01435,Antipyrine,"approved, investigational",unknown,inhibitor,P23219,Details,2206
DB01419,Antrafenine,approved,unknown,inhibitor,P23219,Details,68723
DB01401,Choline magnesium trisalicylate,approved,unknown,inhibitor,P23219,Details,54682045
DB08814,Triflusal,"approved, investigational",yes,antagonist,P23219,Details,9458
DB04552,Niflumic acid,experimental,unknown,,P23219,Details,4488
DB00035,Desmopressin,approved,unknown,inducer,P23219,Details,5311065
DB00773,Etoposide,approved,unknown,substrate,P23219,Details,36462
DB09213,Dexibuprofen,"approved, investigational",unknown,inhibitor,P23219,Details,39912
DB06736,Aceclofenac,"approved, investigational",yes,inhibitor,P23219,Details,71771
DB13919,Candesartan,experimental,unknown,substrate,P23219,Details,2541
DB13783,Acemetacin,"approved, investigational",yes,antagonist,P23219,Details,1981
DB09215,Droxicam,withdrawn,yes,inhibitor,P23219,Details,65679
DB09212,Loxoprofen,approved,yes,antagonist,P23219,Details,3965
DB09216,Tolfenamic acid,"approved, investigational",yes,antagonist,P23219,Details,610479
DB09214,Dexketoprofen,"approved, investigational",unknown,antagonist,P23219,Details,667550
DB09214,Dexketoprofen,"approved, investigational",unknown,inhibitor,P23219,Details,667550
DB09295,Talniflumate,experimental,unknown,antagonist,P23219,Details,48229
DB09295,Talniflumate,experimental,unknown,inhibitor,P23219,Details,48229
DB09288,Propacetamol,experimental,yes,antagonist,P23219,Details,68865
DB11079,Trolamine salicylate,approved,yes,inhibitor,P23219,Details,25213
DB11071,Phenyl salicylate,approved,unknown,antagonist,P23219,Details,8361
DB13346,Bufexamac,"approved, withdrawn",yes,inhibitor,P23219,Details,2466
DB11323,Glycol salicylate,approved,yes,antagonist,P23219,Details,6880
DB11201,Menthyl salicylate,approved,yes,antagonist,P23219,Details,20055232
DB13501,Bendazac,"approved, withdrawn",unknown,,P23219,Details,2313
DB09061,Cannabidiol,"approved, investigational",unknown,inhibitor,P23219,Details,644019
DB14011,Nabiximols,investigational,unknown,inhibitor,P23219,Details,9852188
DB04967,Lucanthone,investigational,yes,inhibitor,P27695,Details,10180
DB00162,Vitamin A,"approved, nutraceutical, vet_approved",unknown,binder,P02753,Details,445354
DB03917,N-Ethylretinamide,experimental,unknown,,P02753,Details,5288173
DB06985,2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic acid,experimental,unknown,,P02753,Details,25138295
DB05076,Fenretinide,investigational,unknown,,P02753,Details,5288209
DB00755,Tretinoin,"approved, investigational, nutraceutical",unknown,,P02753,Details,444795
DB06755,Beta carotene,"approved, nutraceutical",no,substrate,P02753,Details,5280489
DB00608,Chloroquine,"approved, investigational, vet_approved",unknown,inhibitor,Q9NR96,,2719
DB05475,Golotimod,investigational,unknown,,Q9NR96,,6992140
DB01611,Hydroxychloroquine,approved,yes,antagonist,Q9NR96,,3652
DB00201,Caffeine,approved,unknown,inhibitor,P27815,Details,2519
DB09283,Trapidil,experimental,yes,inhibitor,P27815,Details,5531
DB00201,Caffeine,approved,unknown,inhibitor,Q07343,Details,2519
DB09283,Trapidil,experimental,yes,inhibitor,Q07343,Details,5531
DB01065,Melatonin,"approved, nutraceutical, vet_approved",unknown,inhibitor,P11678,Details,896
DB05398,C31G,investigational,unknown,,P21926,Details,456362
DB01050,Ibuprofen,approved,unknown,inducer,P07204,Details,3672
DB09213,Dexibuprofen,"approved, investigational",unknown,modulator,P07204,Details,39912
DB03635,Ethanesulfonic acid,experimental,unknown,,P02775,Details,11668
DB09130,Copper,"approved, investigational",unknown,,P02775,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01011,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01011,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,binder,P01011,Details,3007855
DB01593,Zinc,"approved, investigational",unknown,,Q14624,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,Q14624,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,binder,Q14624,Details,3007855
DB03639,1-Guanidinium-7-Aminoheptane,experimental,unknown,inhibitor,P49366,Details,5288371
DB00398,Sorafenib,"approved, investigational",yes,antagonist,P14151,Details,216239
DB00619,Imatinib,approved,yes,antagonistmultitarget,P14151,Details,5291
DB01254,Dasatinib,"approved, investigational",unknown,antagonist,P14151,Details,3062316
DB01268,Sunitinib,"approved, investigational",yes,inhibitor,P14151,Details,5329102
DB01962,Phosphonotyrosine,experimental,unknown,,P14151,Details,30819
DB04868,Nilotinib,"approved, investigational",unknown,antagonist,P14151,Details,644241
DB12742,Amuvatinib,investigational,unknown,,P14151,Details,11282283
DB05913,OSI-930,investigational,unknown,,P14151,Details,9868037
DB06589,Pazopanib,approved,yes,inhibitor,P14151,Details,10113978
DB06595,Midostaurin,"approved, investigational",unknown,antagonistinhibitor,P14151,Details,9829523
DB08896,Regorafenib,approved,yes,inhibitor,P14151,Details,11167602
DB08901,Ponatinib,"approved, investigational",unknown,inhibitor,P14151,Details,24826799
DB09078,Lenvatinib,"approved, investigational",yes,inhibitor,P14151,Details,9823820
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P14151,Details,11671467
DB12147,Erdafitinib,"approved, investigational",unknown,substrate,P14151,Details,67462786
DB12978,Pexidartinib,"approved, investigational",unknown,inhibitor,P14151,Details,25151352
DB15233,Avapritinib,"approved, investigational",unknown,inhibitor,P14151,Details,118023034
DB14840,Ripretinib,approved,yes,inhibitor,P14151,Details,71584930
DB14840,Ripretinib,approved,yes,inhibitor,P14151,Details,71584930
DB11800,Tivozanib,"approved, investigational",yes,inhibitor,P14151,Details,9911830
DB04178,Di-Stearoyl-3-Sn-Phosphatidylcholine,experimental,unknown,,P17213,Details,94191
DB03088,Pidolic acid,"approved, investigational",unknown,,O43612,Details,7405
DB01327,Cefazolin,approved,unknown,inhibitor,P40933,Details,33255
DB01411,Pranlukast,investigational,unknown,other/unknown,P12724,Details,4887
DB02098,Adenosine-2'-5'-Diphosphate,experimental,unknown,,P12724,Details,440141
DB04272,Citric acid,"approved, nutraceutical, vet_approved",unknown,,P12724,Details,311
DB01694,D-tartaric acid,experimental,unknown,,Q9NP99,Details,439655
DB03685,Uridine monophosphate,experimental,unknown,,Q96AZ6,Details,6030
DB01992,Coenzyme A,"investigational, nutraceutical",unknown,,P30740,Details,87642
DB08186,(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE,experimental,unknown,,P30740,Details,736407
DB08291,N-(3-AMINOPROPYL)-2-NITROBENZENAMINE,experimental,unknown,,P30740,Details,3581192
DB00451,Levothyroxine,approved,no,substrate,P05543,Details,5819
DB00279,Liothyronine,"approved, vet_approved",unknown,substrate,P05543,Details,5920
DB01583,Liotrix,approved,unknown,substrate,P05543,Details,71371
DB09130,Copper,"approved, investigational",unknown,,P05543,Details,23978
DB00627,Niacin,"approved, investigational, nutraceutical",no,inhibitor,P05543,Details,938
DB01629,5-fluorouridine,experimental,no,inducer,P05543,Details,9427
DB00636,Clofibrate,"approved, investigational",no,inducer,P05543,Details,2796
DB01452,Diamorphine,"approved, illicit, investigational",no,inducer,P05543,Details,5462328
DB00322,Floxuridine,approved,no,inducer,P05543,Details,5790
DB00544,Fluorouracil,approved,no,inducer,P05543,Details,3385
DB00648,Mitotane,approved,no,inducer,P05543,Details,4211
DB00675,Tamoxifen,approved,no,inducer,P05543,Details,2733526
DB09256,Tegafur,"approved, investigational",no,inducer,P05543,Details,5386
DB12425,Liothyronine I-131,investigational,no,substrate,P05543,Details,23724940
DB11100,Allantoin,approved,no,substrate,P05543,Details,204
DB01219,Dantrolene,"approved, investigational",no,substrate,P05543,Details,6914273
DB08899,Enzalutamide,approved,no,substrate,P05543,Details,15951529
DB00754,Ethotoin,approved,no,substrate,P05543,Details,3292
DB08984,Etofenamate,experimental,no,substrate,P05543,Details,35375
DB01320,Fosphenytoin,"approved, investigational",no,substrate,P05543,Details,56339
DB00695,Furosemide,"approved, vet_approved",no,binder,P05543,Details,3440
DB00939,Meclofenamic acid,"approved, vet_approved",no,substrate,P05543,Details,4037
DB00532,Mephenytoin,"approved, investigational, withdrawn",no,substrate,P05543,Details,4060
DB13396,Neocitrullamon,experimental,no,substrate,P05543,Details,3084726
DB00252,Phenytoin,"approved, vet_approved",no,substrate,P05543,Details,1775
DB02108,2-Aminoethanimidic Acid,experimental,unknown,,P07858,Details,4471892
DB02148,3-Amino-4-Oxybenzyl-2-Butanone,experimental,unknown,,P07858,Details,5289348
DB02685,3-Methylphenylalanine,experimental,unknown,,P07858,Details,2761494
DB03329,2-Pyridinethiol,experimental,unknown,,P07858,Details,2723698
DB03588,Diphenylacetic acid,experimental,unknown,,P07858,Details,8333
DB04579,"N-{[(2S,3S)-3-(Ethoxycarbonyl)-2-oxiranyl]carbonyl}-L-threonyl-L-isoleucine",experimental,unknown,,P07858,Details,49866368
DB02855,N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline,experimental,unknown,,P07858,Details,5287408
DB07160,"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCINE",experimental,unknown,,P07858,Details,23647357
DB07219,"BENZYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE",experimental,unknown,,P07858,Details,22850133
DB07223,"METHYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE",experimental,unknown,,P07858,Details,6610318
DB07224,"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ALANINE",experimental,unknown,,P07858,Details,23647358
DB07225,"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ISOLEUCINE",experimental,unknown,,P07858,Details,46937062
DB07231,"N-({(2S,3S)-3-[(BENZYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINE",experimental,unknown,,P07858,Details,23647361
DB04126,N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-2-Methyl-Butane,experimental,unknown,,P07858,Details,5288147
DB12695,Phenethyl Isothiocyanate,investigational,unknown,,P27348,Details,16741
DB00806,Pentoxifylline,"approved, investigational",unknown,inhibitor,P21589,Details,4740
DB00987,Cytarabine,"approved, investigational",unknown,substrate,P21589,Details,6253
DB00197,Troglitazone,"approved, investigational, withdrawn",unknown,antagonist,P05121,Details,5591
DB09130,Copper,"approved, investigational",unknown,,P05121,Details,23978
DB12651,Bardoxolone,investigational,unknown,,Q14790,Details,400010
DB03721,N-acetyl-alpha-neuraminic acid,experimental,unknown,,Q9BZZ2,Details,444885
DB02379,Beta-D-Glucose,experimental,unknown,,Q9BZZ2,Details,64689
DB04224,Oleic Acid,"approved, investigational, vet_approved",unknown,,P02774,Details,637517
DB00169,Cholecalciferol,"approved, nutraceutical",no,,P02774,Details,5280795
DB01436,Alfacalcidol,"approved, nutraceutical",unknown,substrate,P02774,Details,5282181
DB00136,Calcitriol,"approved, nutraceutical",no,binder,P02774,Details,5280453
DB00153,Ergocalciferol,"approved, nutraceutical",no,binder,P02774,Details,5280793
DB14581,CPI-1205,investigational,yes,inhibitor,Q15910,Details,78320408
DB12887,Tazemetostat,"approved, investigational",yes,inhibitor,Q15910,Details,66558664
DB08363,1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine,experimental,unknown,,P04637,Details,4722579
DB00945,Acetylsalicylic acid,"approved, vet_approved",unknown,induceracetylation,P04637,Details,2244
DB01593,Zinc,"approved, investigational",unknown,,P04637,Details,23994
DB03347,Triethyl phosphate,experimental,unknown,,P04637,Details,6535
DB14487,Zinc acetate,"approved, investigational",unknown,,P04637,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,chaperone,P04637,Details,3007855
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P30530,Details,11671467
DB12141,Gilteritinib,"approved, investigational",yes,inhibitor,P30530,Details,49803313
DB03127,Benzamidine,experimental,unknown,,P68400,Details,444655
DB04395,Phosphoaminophosphonic Acid-Adenylate Ester,experimental,unknown,,P68400,Details,44462678
DB04462,Tetrabromo-2-Benzotriazole,experimental,unknown,,P68400,Details,1694
DB02709,Resveratrol,investigational,unknown,,P68400,Details,445154
DB04720,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",experimental,unknown,,P68400,Details,5326977
DB07715,Emodin,investigational,unknown,,P68400,Details,3220
DB07802,"3,8-DIBROMO-7-HYDROXY-4-METHYL-2H-CHROMEN-2-ONE",experimental,unknown,,P68400,Details,5795340
DB03035,"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",experimental,unknown,,P68400,Details,4634231
DB01765,"(5-hydroxyindolo[1,2-a]quinazolin-7-yl)acetic acid",experimental,unknown,,P68400,Details,447682
DB04719,"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE",experimental,unknown,,P68400,Details,5326976
DB04721,"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",experimental,unknown,,P68400,Details,5326978
DB02170,"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",experimental,unknown,,P68400,Details,5326637
DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",experimental,unknown,,P68400,Details,85466
DB08338,"19-(cyclopropylamino)-4,6,7,15-tetrahydro-5H-16,1-(azenometheno)-10,14-(metheno)pyrazolo[4,3-o][1,3,9]triazacyclohexadecin-8(9H)-one",experimental,unknown,,P68400,Details,135566411
DB08340,"N,N'-DIPHENYLPYRAZOLO[1,5-A][1,3,5]TRIAZINE-2,4-DIAMINE",experimental,unknown,,P68400,Details,24779674
DB08345,"4-(2-(1H-IMIDAZOL-4-YL)ETHYLAMINO)-2-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",experimental,unknown,,P68400,Details,24779678
DB08353,"2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",experimental,unknown,,P68400,Details,24779675
DB08354,"2-(4-CHLOROBENZYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",experimental,unknown,,P68400,Details,24779676
DB08360,"2-(4-ETHYLPIPERAZIN-1-YL)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE",experimental,unknown,,P68400,Details,24779677
DB08362,"N-(3-(8-CYANO-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZIN-2-YLAMINO)PHENYL)ACETAMIDE",experimental,unknown,,P68400,Details,23656870
DB08473,Dichlororibofuranosylbenzimidazole,experimental,unknown,,P68400,Details,5894
DB08660,Quinalizarin,experimental,unknown,,P68400,Details,5004
DB08846,Ellagic acid,investigational,unknown,inhibitor,P68400,Details,5281855
DB00171,ATP,"investigational, nutraceutical",unknown,,P68400,Details,5957
DB04216,Quercetin,"experimental, investigational",unknown,,P68400,Details,5280343
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P68400,Details,11671467
DB01790,(Rp)-cAMPS,experimental,unknown,,P10644,Details,6858240
DB02315,Cyclic GMP,experimental,unknown,,P10644,Details,135398570
DB02527,Cyclic adenosine monophosphate,experimental,unknown,,P10644,Details,6076
DB01065,Melatonin,"approved, nutraceutical, vet_approved",unknown,,P27797,Details,896
DB11093,Calcium citrate,"approved, investigational",no,ligand,P27797,Details,13136
DB11348,Calcium Phosphate,approved,no,ligand,P27797,Details,24456
DB09130,Copper,"approved, investigational",unknown,,P27797,Details,23978
DB13949,Ferric cation,approved,unknown,binder,P27797,Details,29936
DB14481,Calcium phosphate dihydrate,approved,no,,P27797,Details,104805
DB14520,Tetraferric tricitrate decahydrate,approved,unknown,binder,P27797,Details,90478690
DB00142,Glutamic acid,"approved, nutraceutical",unknown,,P43003,Details,33032
DB08868,Fingolimod,"approved, investigational",unknown,inducer,P43003,Details,107970
DB04276,4-[[(2S)-2-[[(2S)-3-Carboxy-2-hydroxypropanoyl]amino]-4-methylpentanoyl]amino]butyl-(diaminomethylidene)azanium,experimental,unknown,,P07384,Details,5288145
DB04653,N-[(benzyloxy)carbonyl]-L-leucyl-N-[(1S)-3-fluoro-1-(4-hydroxybenzyl)-2-oxopropyl]-L-leucinamide,experimental,unknown,,P07384,Details,11505008
DB07627,(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE,experimental,unknown,,P07384,Details,6857711
DB01138,Sulfinpyrazone,approved,yes,inhibitor,P33527,Details,5342
DB04851,Biricodar,investigational,unknown,,P33527,Details,3037617
DB00503,Ritonavir,"approved, investigational",unknown,inhibitorinducer,P33527,Details,392622
DB04216,Quercetin,"experimental, investigational",unknown,inhibitorinducer,P33527,Details,5280343
DB00570,Vinblastine,approved,unknown,substrateinhibitorinducer,P33527,Details,13342
DB01174,Phenobarbital,"approved, investigational",unknown,inducer,P33527,Details,4763
DB04348,Taurocholic acid,"approved, experimental",unknown,inhibitorinducer,P33527,Details,6675
DB02659,Cholic Acid,approved,unknown,inducer,P33527,Details,221493
DB01165,Ofloxacin,approved,unknown,inhibitor,P33527,Details,4583
DB01138,Sulfinpyrazone,approved,unknown,inhibitor,P33527,Details,5342
DB00328,Indomethacin,"approved, investigational",unknown,inhibitor,P33527,Details,3715
DB01016,Glyburide,approved,unknown,inhibitor,P33527,Details,3488
DB03467,Naringenin,experimental,unknown,inhibitor,P33527,Details,439246
DB02375,Myricetin,experimental,unknown,inhibitor,P33527,Details,5281672
DB00709,Lamivudine,"approved, investigational",unknown,inhibitor,P33527,Details,60825
DB00224,Indinavir,approved,unknown,inhibitor,P33527,Details,5362440
DB00701,Amprenavir,"approved, investigational",unknown,inhibitor,P33527,Details,65016
DB01645,Genistein,investigational,unknown,inhibitor,P33527,Details,5280961
DB01032,Probenecid,"approved, investigational",unknown,inhibitor,P33527,Details,4911
DB01050,Ibuprofen,approved,unknown,inhibitor,P33527,Details,3672
DB00586,Diclofenac,"approved, vet_approved",unknown,inhibitor,P33527,Details,3033
DB00541,Vincristine,"approved, investigational",unknown,substrateinhibitor,P33527,Details,5388993
DB00997,Doxorubicin,"approved, investigational",unknown,substrateinhibitor,P33527,Details,31703
DB00694,Daunorubicin,approved,unknown,substrateinhibitor,P33527,Details,30323
DB01229,Paclitaxel,"approved, vet_approved",unknown,inhibitor,P33527,Details,36314
DB00143,Glutathione,"approved, investigational, nutraceutical",unknown,substrateinhibitor,P33527,Details,124886
DB00563,Methotrexate,approved,unknown,substrateinhibitor,P33527,Details,126941
DB01177,Idarubicin,approved,unknown,inhibitor,P33527,Details,42890
DB00773,Etoposide,approved,unknown,substrateinhibitor,P33527,Details,36462
DB00396,Progesterone,"approved, vet_approved",unknown,inhibitor,P33527,Details,5994
DB00834,Mifepristone,"approved, investigational",unknown,inhibitor,P33527,Details,55245
DB01045,Rifampicin,approved,unknown,inhibitor,P33527,Details,135398735
DB00602,Ivermectin,"approved, investigational, vet_approved",unknown,inhibitor,P33527,Details,46936176
DB01204,Mitoxantrone,"approved, investigational",unknown,substrateinhibitor,P33527,Details,4212
DB05294,Vandetanib,approved,unknown,inhibitor,P33527,Details,3081361
DB00345,Aminohippuric acid,"approved, investigational",unknown,substrate,P33527,Details,2148
DB00365,Grepafloxacin,"approved, investigational, withdrawn",unknown,substrate,P33527,Details,72474
DB00693,Fluorescein,approved,unknown,substrate,P33527,Details,16850
DB01232,Saquinavir,"approved, investigational",unknown,substrate,P33527,Details,441243
DB00445,Epirubicin,approved,unknown,substrate,P33527,Details,41867
DB03825,Rhodamine 6G,experimental,unknown,substrate,P33527,Details,13806
DB00970,Dactinomycin,"approved, investigational",unknown,substrate,P33527,Details,457193
DB00762,Irinotecan,"approved, investigational",unknown,substrate,P33527,Details,60838
DB00399,Zoledronic acid,approved,unknown,substrate,P33527,Details,68740
DB01076,Atorvastatin,approved,no,substrate,P33527,Details,60823
DB01072,Atazanavir,"approved, investigational",unknown,substrateinhibitor,P33527,Details,148192
DB06335,Saxagliptin,approved,unknown,substrate,P33527,Details,11243969
DB05812,Abiraterone,approved,unknown,inhibitor,P33527,Details,132971
DB08881,Vemurafenib,approved,unknown,substrateinhibitor,P33527,Details,42611257
DB01248,Docetaxel,"approved, investigational",unknown,substrate,P33527,Details,148124
DB09161,Technetium Tc-99m sestamibi,"approved, investigational",no,substrate,P33527,Details,22617237
DB00171,ATP,"investigational, nutraceutical",unknown,,P33527,Details,5957
DB08855,Leukotriene C4,"experimental, investigational",unknown,,P33527,Details,5280493
DB06176,Romidepsin,"approved, investigational",unknown,,P33527,Details,5352062
DB13783,Acemetacin,"approved, investigational",no,substrate,P33527,Details,1981
DB09061,Cannabidiol,"approved, investigational",unknown,inhibitor,P33527,Details,644019
DB14011,Nabiximols,investigational,unknown,inhibitor,P33527,Details,9852188
DB09213,Dexibuprofen,"approved, investigational",unknown,,P33527,Details,39912
DB00115,Cyanocobalamin,"approved, nutraceutical",unknown,,P33527,Details,5311498
DB00661,Verapamil,approved,unknown,inhibitor,P33527,Details,2520
DB08868,Fingolimod,"approved, investigational",unknown,inhibitorinducer,P33527,Details,107970
DB01708,Prasterone,"approved, investigational, nutraceutical",unknown,substrate,P33527,Details,5881
DB00845,Clofazimine,"approved, investigational",unknown,inhibitor,P33527,Details,2794
DB12695,Phenethyl Isothiocyanate,investigational,unknown,,P09493,Details,16741
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P09493,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P35579,Details,6918483
DB03615,Ribostamycin,"approved, experimental",unknown,,P07237,Details,33042
DB09130,Copper,"approved, investigational",unknown,,P07237,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P07237,Details,23994
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P07237,Details,6918483
DB14487,Zinc acetate,"approved, investigational",unknown,,P07237,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,binder,P07237,Details,3007855
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P27448,Details,11671467
DB02621,Latrunculin A,experimental,unknown,,P06396,Details,445420
DB09130,Copper,"approved, investigational",unknown,,P06396,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P06396,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P06396,Details,11192
DB01592,Iron,approved,unknown,,P02786,Details,23925
DB13949,Ferric cation,approved,yes,agonist,P02786,Details,29936
DB14488,Ferrous gluconate,approved,unknown,,P02786,Details,23616740
DB14489,Ferrous succinate,approved,unknown,,P02786,Details,10464762
DB14490,Ferrous ascorbate,approved,unknown,,P02786,Details,101033550
DB14491,Ferrous fumarate,approved,unknown,,P02786,Details,6433164
DB14501,Ferrous glycine sulfate,approved,unknown,,P02786,Details,127024065
DB14520,Tetraferric tricitrate decahydrate,approved,yes,ligand,P02786,Details,90478690
DB03366,Imidazole,"experimental, investigational",unknown,,Q9NQX3,Details,795
DB03766,Propanoic acid,"approved, vet_approved",unknown,,Q9NQX3,Details,1032
DB01942,Formic acid,"experimental, investigational",unknown,,Q9NQX3,Details,284
DB08908,Dimethyl fumarate,"approved, investigational",yes,binder,Q14145,Details,637568
DB00515,Cisplatin,approved,unknown,substrate,P35670,Details,441203
DB00958,Carboplatin,approved,unknown,substrate,P35670,Details,5352133
DB00526,Oxaliplatin,"approved, investigational",unknown,substrate,P35670,Details,6857599
DB09130,Copper,"approved, investigational",no,substrate,P35670,Details,23978
DB00157,NADH,"approved, nutraceutical",unknown,,P49419,Details,439153
